t,semaforoV2_se_—_rojo,semaforoV2_se_—_verde,semaforoV2_se_—_t_restante,boton_pwm_cs_—_salida
19.300,1.0000,0.0000,10.0000,0.0000
19.350,1.0000,0.0000,10.0000,0.0000
19.400,1.0000,0.0000,10.0000,0.0000
19.450,1.0000,0.0000,10.0000,0.0000
19.500,1.0000,0.0000,10.0000,0.0000
19.550,1.0000,0.0000,10.0000,0.0000
19.600,1.0000,0.0000,10.0000,0.0000
19.650,1.0000,0.0000,10.0000,0.0000
19.700,1.0000,0.0000,10.0000,0.0000
19.750,1.0000,0.0000,10.0000,0.0000
19.800,1.0000,0.0000,10.0000,0.0000
19.850,1.0000,0.0000,10.0000,0.0000
19.900,1.0000,0.0000,10.0000,0.0000
19.950,1.0000,0.0000,10.0000,0.0000
20.000,0.0000,1.0000,15.0000,0.0000
20.050,0.0000,1.0000,15.0000,0.0000
20.100,0.0000,1.0000,15.0000,0.0000
20.150,0.0000,1.0000,15.0000,0.0000
20.200,0.0000,1.0000,15.0000,0.0000
20.250,0.0000,1.0000,15.0000,0.0000
20.300,0.0000,1.0000,15.0000,0.0000
20.350,0.0000,1.0000,15.0000,0.0000
20.400,0.0000,1.0000,15.0000,0.0000
20.450,0.0000,1.0000,15.0000,0.0000
20.500,0.0000,1.0000,15.0000,0.0000
20.550,0.0000,1.0000,15.0000,0.0000
20.600,0.0000,1.0000,15.0000,0.0000
20.650,0.0000,1.0000,15.0000,0.0000
20.700,0.0000,1.0000,15.0000,0.0000
20.750,0.0000,1.0000,15.0000,0.0000
20.800,0.0000,1.0000,15.0000,0.0000
20.850,0.0000,1.0000,15.0000,0.0000
20.900,0.0000,1.0000,15.0000,0.0000
20.950,0.0000,1.0000,15.0000,0.0000
21.000,0.0000,1.0000,15.0000,0.0000
21.050,0.0000,1.0000,15.0000,0.0000
21.100,0.0000,1.0000,15.0000,0.0000
21.150,0.0000,1.0000,15.0000,0.0000
21.200,0.0000,1.0000,15.0000,0.0000
21.250,0.0000,1.0000,15.0000,0.0000
21.300,0.0000,1.0000,15.0000,0.0000
21.350,0.0000,1.0000,15.0000,0.0000
21.400,0.0000,1.0000,15.0000,0.0000
21.450,0.0000,1.0000,15.0000,0.0000
21.500,0.0000,1.0000,15.0000,0.0000
21.550,0.0000,1.0000,15.0000,0.0000
21.600,0.0000,1.0000,15.0000,0.0000
21.650,0.0000,1.0000,15.0000,0.0000
21.700,0.0000,1.0000,15.0000,0.0000
21.750,0.0000,1.0000,15.0000,0.0000
21.800,0.0000,1.0000,15.0000,0.0000
21.850,0.0000,1.0000,15.0000,0.0000
21.900,0.0000,1.0000,15.0000,0.0000
21.950,0.0000,1.0000,15.0000,0.0000
22.000,0.0000,1.0000,15.0000,0.0000
22.050,0.0000,1.0000,15.0000,0.0000
22.100,0.0000,1.0000,15.0000,0.0000
22.150,0.0000,1.0000,15.0000,0.0000
22.200,0.0000,1.0000,15.0000,0.0000
22.250,0.0000,1.0000,15.0000,0.0000
22.300,0.0000,1.0000,15.0000,0.0000
22.350,0.0000,1.0000,15.0000,0.0000
22.400,0.0000,1.0000,15.0000,0.0000
22.450,0.0000,1.0000,15.0000,0.0000
22.500,0.0000,1.0000,15.0000,0.0000
22.550,0.0000,1.0000,15.0000,0.0000
22.600,0.0000,1.0000,15.0000,0.0000
22.650,0.0000,1.0000,15.0000,0.0000
22.700,0.0000,1.0000,15.0000,0.0000
22.750,0.0000,1.0000,15.0000,0.0000
22.800,0.0000,1.0000,15.0000,0.0000
22.850,0.0000,1.0000,15.0000,0.0000
22.900,0.0000,1.0000,15.0000,0.0000
22.950,0.0000,1.0000,15.0000,0.0000
23.000,0.0000,1.0000,15.0000,0.0000
23.050,0.0000,1.0000,15.0000,0.0000
23.100,0.0000,1.0000,15.0000,0.0000
23.150,0.0000,1.0000,15.0000,0.0000
23.200,0.0000,1.0000,15.0000,0.0000
23.250,0.0000,1.0000,15.0000,0.0000
23.300,0.0000,1.0000,15.0000,0.0000
23.350,0.0000,1.0000,15.0000,0.0000
23.400,0.0000,1.0000,15.0000,0.0000
23.450,0.0000,1.0000,15.0000,0.0000
23.500,0.0000,1.0000,15.0000,0.0000
23.550,0.0000,1.0000,15.0000,0.0000
23.600,0.0000,1.0000,15.0000,0.0000
23.650,0.0000,1.0000,15.0000,0.0000
23.700,0.0000,1.0000,15.0000,0.0000
23.750,0.0000,1.0000,15.0000,0.0000
23.800,0.0000,1.0000,15.0000,0.0000
23.850,0.0000,1.0000,15.0000,0.0000
23.900,0.0000,1.0000,15.0000,0.0000
23.950,0.0000,1.0000,15.0000,0.0000
24.000,0.0000,1.0000,15.0000,0.0000
24.050,0.0000,1.0000,15.0000,0.0000
24.100,0.0000,1.0000,15.0000,0.0000
24.150,0.0000,1.0000,15.0000,0.0000
24.200,0.0000,1.0000,15.0000,0.0000
24.250,0.0000,1.0000,15.0000,0.0000
24.300,0.0000,1.0000,15.0000,0.0000
24.350,0.0000,1.0000,15.0000,0.0000
24.400,0.0000,1.0000,15.0000,0.0000
24.450,0.0000,1.0000,15.0000,0.0000
24.500,0.0000,1.0000,15.0000,0.0000
24.550,0.0000,1.0000,15.0000,0.0000
24.600,0.0000,1.0000,15.0000,0.0000
24.650,0.0000,1.0000,15.0000,0.0000
24.700,0.0000,1.0000,15.0000,0.0000
24.750,0.0000,1.0000,15.0000,0.0000
24.800,0.0000,1.0000,15.0000,0.0000
24.850,0.0000,1.0000,15.0000,0.0000
24.900,0.0000,1.0000,15.0000,0.0000
24.950,0.0000,1.0000,15.0000,0.0000
25.000,0.0000,1.0000,15.0000,0.0000
25.050,0.0000,1.0000,15.0000,0.0000
25.100,0.0000,1.0000,15.0000,0.0000
25.150,0.0000,1.0000,15.0000,0.0000
25.200,0.0000,1.0000,15.0000,0.0000
25.250,0.0000,1.0000,15.0000,0.0000
25.300,0.0000,1.0000,15.0000,0.0000
25.350,0.0000,1.0000,15.0000,0.0000
25.400,0.0000,1.0000,15.0000,0.0000
25.450,0.0000,1.0000,15.0000,0.0000
25.500,0.0000,1.0000,15.0000,0.0000
25.550,0.0000,1.0000,15.0000,0.0000
25.600,0.0000,1.0000,15.0000,0.0000
25.650,0.0000,1.0000,15.0000,0.0000
25.700,0.0000,1.0000,15.0000,0.0000
25.750,0.0000,1.0000,15.0000,0.0000
25.800,0.0000,1.0000,15.0000,0.0000
25.850,0.0000,1.0000,15.0000,0.0000
25.900,0.0000,1.0000,15.0000,0.0000
25.950,0.0000,1.0000,15.0000,0.0000
26.000,0.0000,1.0000,15.0000,0.0000
26.050,0.0000,1.0000,15.0000,0.0000
26.100,0.0000,1.0000,15.0000,0.0000
26.150,0.0000,1.0000,15.0000,0.0000
26.200,0.0000,1.0000,15.0000,0.0000
26.250,0.0000,1.0000,15.0000,0.0000
26.300,0.0000,1.0000,15.0000,0.0000
26.350,0.0000,1.0000,15.0000,0.0000
26.400,0.0000,1.0000,15.0000,0.0000
26.450,0.0000,1.0000,15.0000,0.0000
26.500,0.0000,1.0000,15.0000,0.0000
26.550,0.0000,1.0000,15.0000,0.0000
26.600,0.0000,1.0000,15.0000,0.0000
26.650,0.0000,1.0000,15.0000,0.0000
26.700,0.0000,1.0000,15.0000,0.0000
26.750,0.0000,1.0000,15.0000,0.0000
26.800,0.0000,1.0000,15.0000,0.0000
26.850,0.0000,1.0000,15.0000,0.0000
26.900,0.0000,1.0000,15.0000,0.0000
26.950,0.0000,1.0000,15.0000,0.0000
27.000,0.0000,1.0000,15.0000,0.0000
27.050,0.0000,1.0000,15.0000,0.0000
27.100,0.0000,1.0000,15.0000,0.0000
27.150,0.0000,1.0000,15.0000,0.0000
27.200,0.0000,1.0000,15.0000,0.0000
27.250,0.0000,1.0000,15.0000,0.0000
27.300,0.0000,1.0000,15.0000,0.0000
27.350,0.0000,1.0000,15.0000,0.0000
27.400,0.0000,1.0000,15.0000,0.0000
27.450,0.0000,1.0000,15.0000,0.0000
27.500,0.0000,1.0000,15.0000,0.0000
27.550,0.0000,1.0000,15.0000,0.0000
27.600,0.0000,1.0000,15.0000,0.0000
27.650,0.0000,1.0000,15.0000,0.0000
27.700,0.0000,1.0000,15.0000,0.0000
27.750,0.0000,1.0000,15.0000,0.0000
27.800,0.0000,1.0000,15.0000,0.0000
27.850,0.0000,1.0000,15.0000,0.0000
27.900,0.0000,1.0000,15.0000,0.0000
27.950,0.0000,1.0000,15.0000,0.0000
28.000,0.0000,1.0000,15.0000,0.0000
28.050,0.0000,1.0000,15.0000,0.0000
28.100,0.0000,1.0000,15.0000,0.0000
28.150,0.0000,1.0000,15.0000,0.0000
28.200,0.0000,1.0000,15.0000,0.0000
28.250,0.0000,1.0000,15.0000,0.0000
28.300,0.0000,1.0000,15.0000,0.0000
28.350,0.0000,1.0000,15.0000,0.0000
28.400,0.0000,1.0000,15.0000,0.0000
28.450,0.0000,1.0000,15.0000,0.0000
28.500,0.0000,1.0000,15.0000,0.0000
28.550,0.0000,1.0000,15.0000,0.0000
28.600,0.0000,1.0000,15.0000,0.0000
28.650,0.0000,1.0000,15.0000,0.0000
28.700,0.0000,1.0000,15.0000,0.0000
28.750,0.0000,1.0000,15.0000,0.0000
